DATE,EXXON_PRICE,OIL_PRICE
2014-03-28, $97.70 , $106.64 
2014-03-31, $97.68 , $105.95 
2014-04-01, $97.73 , $105.70 
2014-04-02, $97.95 , $103.37 
2014-04-03, $97.93 , $104.88 
2014-04-04, $97.36 , $106.41 
2014-04-07, $96.78 , $104.89 
2014-04-08, $97.45 , $105.83 
2014-04-09, $97.33 , $107.39 
2014-04-10, $96.78 , $107.10 
2014-04-11, $96.72 , $107.34 
2014-04-14, $97.86 , $107.68 
2014-04-15, $98.68 , $109.10 
2014-04-16, $99.94 , $109.71 
2014-04-17, $100.42 , $109.79 
2014-04-21, $100.93 , $109.69 
2014-04-22, $100.37 , $108.54 
2014-04-23, $100.50 , $108.48 
2014-04-24, $100.01 , $109.79 
2014-04-25, $100.41 , $109.53 
2014-04-28, $101.17 , $109.12 
2014-04-29, $101.45 , $109.89 
2014-04-30, $102.41 , $108.63 
2014-05-01, $101.41 , $108.63 
2014-05-02, $102.01 , $109.48 
2014-05-05, $102.91 , $109.48 
2014-05-06, $102.67 , $108.30 
2014-05-07, $103.11 , $108.17 
2014-05-08, $102.32 , $108.19 
2014-05-09, $101.95 , $108.26 
2014-05-12, $102.23 , $108.37 
2014-05-13, $102.36 , $108.78 
2014-05-14, $102.29 , $109.87 
2014-05-15, $100.78 , $109.74 
2014-05-16, $100.74 , $110.90 
2014-05-19, $100.87 , $110.84 
2014-05-20, $100.67 , $110.35 
2014-05-21, $102.03 , $111.32 
2014-05-22, $101.50 , $110.89 
2014-05-23, $101.32 , $110.19 
2014-05-27, $101.36 , $109.81 
2014-05-28, $101.06 , $109.09 
2014-05-29, $101.27 , $109.98 
2014-05-30, $100.53 , $109.21 
2014-06-02, $99.94 , $109.34 
2014-06-03, $100.39 , $108.87 
2014-06-04, $100.04 , $109.07 
2014-06-05, $100.55 , $108.43 
2014-06-06, $101.60 , $109.21 
2014-06-09, $101.52 , $110.55 
2014-06-10, $101.46 , $109.18 
2014-06-11, $101.95 , $109.83 
2014-06-12, $101.66 , $112.18 
2014-06-13, $102.65 , $113.15 
2014-06-16, $102.92 , $113.42 
2014-06-17, $102.42 , $114.02 
2014-06-18, $102.73 , $114.25 
2014-06-19, $102.63 , $115.19 
2014-06-20, $103.83 , $114.55 
2014-06-23, $104.38 , $113.62 
2014-06-24, $102.73 , $113.74 
2014-06-25, $102.14 , $112.84 
2014-06-26, $102.03 , $112.61 
2014-06-27, $101.21 , $112.62 
2014-06-30, $100.68 , $111.03 
2014-07-01, $101.36 , $110.84 
2014-07-02, $101.57 , $110.18 
2014-07-03, $102.59 , $108.98 
2014-07-07, $102.65 , $108.70 
2014-07-08, $102.83 , $107.65 
2014-07-09, $103.55 , $106.84 
2014-07-10, $102.57 , $106.20 
2014-07-11, $101.74 , $105.77 
2014-07-14, $102.68 , $104.73 
2014-07-15, $102.39 , $104.73 
2014-07-16, $103.77 , $105.41 
2014-07-17, $102.31 , $106.04 
2014-07-18, $102.73 , $106.03 
2014-07-21, $103.08 , $105.71 
